ab	4,0,0.0004313691657320335,7.420599584446424e-05
above	2,5,0.0002588214994392201,0.0004452359750667854
absolutely	0,1,8.62738331464067e-05,0.00014841199168892847
absorb	0,1,8.62738331464067e-05,0.00014841199168892847
abuse	0,1,8.62738331464067e-05,0.00014841199168892847
acce	0,1,8.62738331464067e-05,0.00014841199168892847
accept	0,3,8.62738331464067e-05,0.00029682398337785694
accepted	0,1,8.62738331464067e-05,0.00014841199168892847
accepting	0,2,8.62738331464067e-05,0.0002226179875333927
accomodates	1,0,0.0001725476662928134,7.420599584446424e-05
accompanied	1,0,0.0001725476662928134,7.420599584446424e-05
accounts	0,1,8.62738331464067e-05,0.00014841199168892847
accurate	1,0,0.0001725476662928134,7.420599584446424e-05
aches	0,1,8.62738331464067e-05,0.00014841199168892847
achieved	1,0,0.0001725476662928134,7.420599584446424e-05
acrobat	0,1,8.62738331464067e-05,0.00014841199168892847
across	5,4,0.0005176429988784402,0.00037102997922232116
act	0,3,8.62738331464067e-05,0.00029682398337785694
activate	0,4,8.62738331464067e-05,0.00037102997922232116
active	1,0,0.0001725476662928134,7.420599584446424e-05
activities	7,0,0.0006901906651712536,7.420599584446424e-05
actor	0,1,8.62738331464067e-05,0.00014841199168892847
adage	0,1,8.62738331464067e-05,0.00014841199168892847
adapted	0,1,8.62738331464067e-05,0.00014841199168892847
add	2,6,0.0002588214994392201,0.0005194419709112497
added	0,2,8.62738331464067e-05,0.0002226179875333927
adding	0,2,8.62738331464067e-05,0.0002226179875333927
additionally	1,1,0.0001725476662928134,0.00014841199168892847
adhesion	0,1,8.62738331464067e-05,0.00014841199168892847
adm	1,0,0.0001725476662928134,7.420599584446424e-05
adobe	0,12,8.62738331464067e-05,0.000964677945978035
ads	0,5,8.62738331464067e-05,0.0004452359750667854
adv	0,1,8.62738331464067e-05,0.00014841199168892847
advanced	0,1,8.62738331464067e-05,0.00014841199168892847
advantage	1,0,0.0001725476662928134,7.420599584446424e-05
advertisements	0,1,8.62738331464067e-05,0.00014841199168892847
advise	2,0,0.0002588214994392201,7.420599584446424e-05
advocates	1,0,0.0001725476662928134,7.420599584446424e-05
aec	2,0,0.0002588214994392201,7.420599584446424e-05
aeopublishing	0,19,8.62738331464067e-05,0.0014841199168892847
affairs	1,0,0.0001725476662928134,7.420599584446424e-05
affiliate	0,1,8.62738331464067e-05,0.00014841199168892847
afraid	1,3,0.0001725476662928134,0.00029682398337785694
afternoon	3,1,0.0003450953325856268,0.00014841199168892847
agendas	1,0,0.0001725476662928134,7.420599584446424e-05
agonizing	0,1,8.62738331464067e-05,0.00014841199168892847
agree	1,1,0.0001725476662928134,0.00014841199168892847
aids	1,0,0.0001725476662928134,7.420599584446424e-05
alex	4,0,0.0004313691657320335,7.420599584446424e-05
allay	0,1,8.62738331464067e-05,0.00014841199168892847
allocate	1,0,0.0001725476662928134,7.420599584446424e-05
allocation	5,0,0.0005176429988784402,7.420599584446424e-05
allow	4,5,0.0004313691657320335,0.0004452359750667854
alpra	0,1,8.62738331464067e-05,0.00014841199168892847
already	8,3,0.0007764644983176603,0.00029682398337785694
always	0,6,8.62738331464067e-05,0.0005194419709112497
amigo	0,1,8.62738331464067e-05,0.00014841199168892847
amount	1,1,0.0001725476662928134,0.00014841199168892847
amy	0,2,8.62738331464067e-05,0.0002226179875333927
an	20,41,0.0018117504960745406,0.003116651825467498
analyses	1,0,0.0001725476662928134,7.420599584446424e-05
analyze	0,1,8.62738331464067e-05,0.00014841199168892847
anita	2,0,0.0002588214994392201,7.420599584446424e-05
annoy	0,1,8.62738331464067e-05,0.00014841199168892847
annoying	1,0,0.0001725476662928134,7.420599584446424e-05
anonymously	0,1,8.62738331464067e-05,0.00014841199168892847
another	6,7,0.0006039168320248468,0.0005936479667557139
answers	0,5,8.62738331464067e-05,0.0004452359750667854
antoine	1,0,0.0001725476662928134,7.420599584446424e-05
anywhere	0,3,8.62738331464067e-05,0.00029682398337785694
apologies	1,1,0.0001725476662928134,0.00014841199168892847
appear	4,1,0.0004313691657320335,0.00014841199168892847
applied	5,0,0.0005176429988784402,7.420599584446424e-05
approach	1,1,0.0001725476662928134,0.00014841199168892847
appropriate	3,0,0.0003450953325856268,7.420599584446424e-05
arbitrage	4,0,0.0004313691657320335,7.420599584446424e-05
architect	0,1,8.62738331464067e-05,0.00014841199168892847
archive	0,1,8.62738331464067e-05,0.00014841199168892847
are	55,84,0.004831334656198775,0.00630750964677946
argentine	4,0,0.0004313691657320335,7.420599584446424e-05
arizona	1,0,0.0001725476662928134,7.420599584446424e-05
ark	0,1,8.62738331464067e-05,0.00014841199168892847
arrangements	0,2,8.62738331464067e-05,0.0002226179875333927
arrest	0,2,8.62738331464067e-05,0.0002226179875333927
arrival	1,0,0.0001725476662928134,7.420599584446424e-05
art	0,2,8.62738331464067e-05,0.0002226179875333927
articles	0,1,8.62738331464067e-05,0.00014841199168892847
asia	0,1,8.62738331464067e-05,0.00014841199168892847
assault	0,1,8.62738331464067e-05,0.00014841199168892847
assays	0,1,8.62738331464067e-05,0.00014841199168892847
assembly	1,0,0.0001725476662928134,7.420599584446424e-05
assist	0,3,8.62738331464067e-05,0.00029682398337785694
assortment	0,1,8.62738331464067e-05,0.00014841199168892847
assume	1,0,0.0001725476662928134,7.420599584446424e-05
assumption	1,0,0.0001725476662928134,7.420599584446424e-05
at	57,66,0.005003882322491588,0.004971801721579103
atreus	0,1,8.62738331464067e-05,0.00014841199168892847
attendance	2,0,0.0002588214994392201,7.420599584446424e-05
australia	2,7,0.0002588214994392201,0.0005936479667557139
australiasds	0,1,8.62738331464067e-05,0.00014841199168892847
automatically	1,3,0.0001725476662928134,0.00029682398337785694
availability	0,2,8.62738331464067e-05,0.0002226179875333927
avoid	3,5,0.0003450953325856268,0.0004452359750667854
avoided	1,0,0.0001725476662928134,7.420599584446424e-05
await	0,2,8.62738331464067e-05,0.0002226179875333927
awaking	0,1,8.62738331464067e-05,0.00014841199168892847
aware	1,0,0.0001725476662928134,7.420599584446424e-05
awesome	1,0,0.0001725476662928134,7.420599584446424e-05
axel	2,0,0.0002588214994392201,7.420599584446424e-05
azurix	10,0,0.0009490121646104736,7.420599584446424e-05
baby	0,2,8.62738331464067e-05,0.0002226179875333927
background	2,7,0.0002588214994392201,0.0005936479667557139
backup	2,0,0.0002588214994392201,7.420599584446424e-05
bade	0,1,8.62738331464067e-05,0.00014841199168892847
baggage	0,1,8.62738331464067e-05,0.00014841199168892847
